found,author,combinedName,kingdom,tsn,unitInd1,unitInd2,unitInd3,unitInd4,unitName1,unitName2,unitName3,unitName4,final_id,full_hierarchy
TRUE,"(Banks, 1894)",ceraclea punctata,Animalia,116711,,,,,Ceraclea,punctata,,,ceraclea_punctata,TRUE
TRUE,"Stephens, 1829",ceraclea,Animalia,116684,,,,,Ceraclea,,,,ceraclea,TRUE
TRUE,"(Ross, 1939)",ceratopsyche alhedra,Animalia,115596,,,,,Ceratopsyche,alhedra,,,ceratopsyche_alhedra,TRUE
TRUE,"(Ross, 1938)",ceratopsyche bronta,Animalia,115577,,,,,Ceratopsyche,bronta,,,ceratopsyche_bronta,TRUE
TRUE,"Ross & Unzicker, 1977",ceratopsyche,Animalia,115570,,,,,Ceratopsyche,,,,ceratopsyche,TRUE
TRUE,"(Hagen, 1861)",ceratopsyche morosa,Animalia,115580,,,,,Ceratopsyche,morosa,,,ceratopsyche_morosa,TRUE
TRUE,"(Banks, 1905)",ceratopsyche slossonae,Animalia,115586,,,,,Ceratopsyche,slossonae,,,ceratopsyche_slossonae,TRUE
TRUE,"(Ross, 1938)",ceratopsyche sparna,Animalia,115589,,,,,Ceratopsyche,sparna,,,ceratopsyche_sparna,TRUE
TRUE,"(Ross, 1941)",ceratopsyche ventura,Animalia,568817,,,,,Ceratopsyche,ventura,,,ceratopsyche_ventura,TRUE
TRUE,"Ross, 1938",cernotina,Animalia,115373,,,,,Cernotina,,,,cernotina,TRUE
TRUE,Kieffer,chaetocladius,Animalia,128520,,,,,Chaetocladius,,,,chaetocladius,TRUE
TRUE,,chaetocladius vitellinus,Animalia,128532,,,,,Chaetocladius,vitellinus,,,chaetocladius_vitellinus,TRUE
TRUE,"(Gruithuisen, 1828)",chaetogaster diaphanus,Animalia,68935,,,,,Chaetogaster,diaphanus,,,chaetogaster_diaphanus,TRUE
TRUE,"(Gruithuisen, 1828)",chaetogaster diastrophus,Animalia,68938,,,,,Chaetogaster,diastrophus,,,chaetogaster_diastrophus,TRUE
TRUE,"von Baer, 1827",chaetogaster limnaei,Animalia,68943,,,,,Chaetogaster,limnaei,,,chaetogaster_limnaei,TRUE
TRUE,"Svetlov, 1925",chaetogaster setosus,Animalia,68945,,,,,Chaetogaster,setosus,,,chaetogaster_setosus,TRUE
TRUE,"von Baer, 1827",chaetogaster,Animalia,68934,,,,,Chaetogaster,,,,chaetogaster,TRUE
TRUE,"Lichtenstein, 1800",chaoborus,Animalia,125904,,,,,Chaoborus,,,,chaoborus,TRUE
TRUE,"Rambur, 1842",chauliodes rastricornis,Animalia,115025,,,,,Chauliodes,rastricornis,,,chauliodes_rastricornis,TRUE
TRUE,"Latreille, 1796",chauliodes,Animalia,115024,,,,,Chauliodes,,,,chauliodes,TRUE
TRUE,,chelifera,Animalia,136305,,,,,Chelifera,,,,chelifera,TRUE
TRUE,"Wallengren, 1891",cheumatopsyche,Animalia,115408,,,,,Cheumatopsyche,,,,cheumatopsyche,TRUE
TRUE,"Hagen, 1861",chimarra aterrima,Animalia,115278,,,,,Chimarra,aterrima,,,chimarra_aterrima,TRUE
TRUE,"(Walker, 1852)",chimarra obscura,Animalia,115276,,,,,Chimarra,obscura,,,chimarra_obscura,TRUE
TRUE,"Hagen, 1861",chimarra socia,Animalia,115279,,,,,Chimarra,socia,,,chimarra_socia,TRUE
TRUE,"Stephens, 1829",chimarra,Animalia,115273,,,,,Chimarra,,,,chimarra,TRUE
