MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Isotomurus sp.,ARTHROPODA,INSECTA,COLLEMBOLA,Isotomidae,,5,c-g,83,Other,Isotomurus palustris,facultative,,,99246
Iswaeon anoka,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,2,scr,"83,34",Ephemeroptera,Heterocloeon anoka,facultative,,,776948
Ithytrichia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,4,scr,125,Trichoptera,,intolerant,,,115823
Krenopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,4,prd,83,Chironomidae,,intolerant,,,128170
Krenosmittia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,1,c-g,"124,83",Chironomidae,,intolerant,,,128771
Labrundinia nr. virescens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,prd,97,Chironomidae,,facultative,,,128182
Labrundinia pilosella,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,prd,97,Chironomidae,Labrundinia floridana,facultative,,,128178
Labrundinia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,prd,97,Chironomidae,,facultative,,,128173
Laccobius sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,prd,"83,123",Coleoptera,,facultative,,,112858
Laccophilus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,prd,"83,123",Coleoptera,,facultative,,,112278
Laevapex fuscus,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,scr,,Mollusca,,facultative,,,76577
Lampsilis radiata,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,c-f,"116,83,3",Mollusca,,facultative,,,79994
Lampsilis sp.,MOLLUSCA,PELECYPODA,UNIONIDA,Unionidae,,6,c-f,"116,83,3",Mollusca,,facultative,,,79986
Lanthus parvulus,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,5,prd,,Insects-other,,facultative,,,101768
Lanthus sp.,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,5,prd,"83,122",Insects-other,,facultative,,,101766
Lanthus vernalis,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,5,prd,,Insects-other,,facultative,,,101769
Larsia canadensis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"11,65",Chironomidae,,facultative,,,128185
Larsia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"11,65",Chironomidae,,facultative,,,128183
Lauterborniella agrayloides,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,124,Chironomidae,,tolerant,,,129526
Lauterborniella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,124,Chironomidae,,tolerant,,,129525
Lebertia sp.,ARTHROPODA,ARACHNOIDEA,,Lebertiidae,,6,prd,108,Other,,facultative,,,83034
Lepidostoma sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Lepidostomatidae,,1,shr,125,Trichoptera,,intolerant,2,0,116794
Leptocerus americanus,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,4,shr,125,Trichoptera,,intolerant,,,116678
Leptocerus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,4,shr,125,Trichoptera,,intolerant,,,116677
Leptophlebia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,c-g,83,Ephemeroptera,,intolerant,,,101148
Lestes sp.,ARTHROPODA,INSECTA,ODONATA,Lestidae,,6,prd,"83,122",Insects-other,,facultative,,,102061
Leucotrichia pictipes,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,Hydroptilinae,6,scr,,Trichoptera,,facultative,,,115631
Leucotrichia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,125,Trichoptera,,facultative,6,2,115630
Leucrocuta sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,1,scr,"83,43",Ephemeroptera,Heptagenia juno,intolerant,1,3,100676
Leuctra ferruginea,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,shr,53,Plecoptera,,intolerant,,,102850
Leuctra maria,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,shr,53,Plecoptera,,intolerant,,,102873
Leuctra sp.,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,shr,"83,114",Plecoptera,,intolerant,,,102844
Leuctra tenuis,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,shr,53,Plecoptera,,intolerant,,,102853
Leuctra truncata,ARTHROPODA,INSECTA,PLECOPTERA,Leuctridae,,0,shr,53,Plecoptera,,intolerant,,,102868
Limnephilus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,3,shr,125,Trichoptera,,intolerant,,,116069
Limnesia sp.,ARTHROPODA,ARACHNOIDEA,,Limnesidae,,6,prd,108,Other,,facultative,,,83051
Limnochares sp.,ARTHROPODA,ARACHNOIDEA,,Limnocharidae,,6,prd,108,Other,,facultative,,,83146
Limnodrilus cervix,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68652
Limnodrilus claparedeianus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68654
Limnodrilus hoffmeisteri,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68639
Limnodrilus profundicola,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68649
Limnodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68638
Limnodrilus udekemianus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68644
Limnophila sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,3,prd,83,Insects-other,,intolerant,,,120164
Limnophyes sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,c-g,"124,83",Chironomidae,"Metriocnemus sp., Eukiefferiella sp. 8",tolerant,,,128776
Limonia sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,6,shr,"83,25",Insects-other,,facultative,,,119704
Lirceus sp.,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,126,Crustacea,,tolerant,,,92666
Litobrancha recurvata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,c-g,72,Ephemeroptera,,intolerant,,,101567
Litobrancha sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,c-g,83,Ephemeroptera,,intolerant,,,101566
Lopescladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"124,83",Chironomidae,,intolerant,,,128811
Lumbriculus sp.,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,c-g,18,Oligochaeta,,tolerant,,,68441
Lumbriculus variegatus,ANNELIDA,OLIGOCHAETA,LUMBRICULIDA,Lumbriculidae,,5,c-g,18,Oligochaeta,,tolerant,,,68444
Lymnaea sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Lymnaeidae,,6,c-g,"60,83",Mollusca,,facultative,,,76484
Lymnaea stagnalis,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Lymnaeidae,,6,c-g,"60,83",Mollusca,,facultative,,,76487
Lype diversa,ARTHROPODA,INSECTA,TRICHOPTERA,Psychomyiidae,,2,scr,125,Trichoptera,,intolerant,,,115392
Lype sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Psychomyiidae,,2,scr,125,Trichoptera,,intolerant,,,115391
Maccaffertium exiguum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,5,scr,9,Ephemeroptera,Stenonema exiguum,facultative,,,100514
Maccaffertium ithaca,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,3,scr,9,Ephemeroptera,Stenonema ithaca,intolerant,,,100527
Maccaffertium luteum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,9,Ephemeroptera,Stenonema luteum,intolerant,,,100529
Maccaffertium mediopunctatum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,3,scr,9,Ephemeroptera,Stenonema mediopunctatum,intolerant,3,3,100530
Maccaffertium meririvulanum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,2,scr,9,Ephemeroptera,Stenonema meririvulanum,intolerant,,,100531
Maccaffertium mexicanum integrum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,9,Ephemeroptera,"Stenonema integrum, Stenonema ares, Stenonema  sp. 5, Stenonema mexicanum integrum",intolerant,,,698515
Maccaffertium modestum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,1,scr,9,Ephemeroptera,"Stenonema annexum, Stenonema rubromaculatum, Stenonema sp. 6, Stenonema ares, Stenonema modestum",intolerant,2,5,100532
Maccaffertium pudicum,Arthropoda,INSECTA,Ephemeroptera,Heptageniidae,,2,scr,9,Ephemeroptera,Stenonema pudicum,intolerant,,,100536
Maccaffertium pulchellum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,3,scr,9,Ephemeroptera,"Stenonema sp. 1, Stenonema pulchellum",intolerant,,,698241
Maccaffertium sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,5,scr,9,Ephemeroptera,,facultative,,,697957
Maccaffertium terminatum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,9,Ephemeroptera,"Stenonema bipunctatum, Stenonema ares, Stenonema sp. 1, Stenonema terminatum",intolerant,2,3,100542
Maccaffertium vicarium,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,2,scr,9,Ephemeroptera,"Stenonema fuscum, Stenonema sp. 7, Stenonema vicarium",intolerant,6,7,100548
Macromia sp.,ARTHROPODA,INSECTA,ODONATA,Macromiidae,,2,prd,"83,122",Insects-other,,intolerant,,,101918
Macronychus glabratus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,c-g,19,Coleoptera,,facultative,,,114213
Macronychus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,5,c-g,19,Coleoptera,,facultative,,,114212
Macropelopia decedens,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,prd,92,Chironomidae,Macropelopia sp.,tolerant,,,128037
Macropelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chrionomidae,Tanypodinae,9,prd,92,Chironomidae,,tolerant,,,128034
Macrostemum carolina,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,3,c-f,"125,98",Trichoptera,Macronema carolina,intolerant,7,2,115608
Macrostemum sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,3,c-f,125,Trichoptera,Macronema sp.,intolerant,4,2,115603
Macrostemum zebratum,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,3,c-f,"125,98",Trichoptera,Macronema zebratum,intolerant,,,115606
Malirekus iroquois,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,"114,86",Plecoptera,Malirekus hastatus,intolerant,,,103177
Malirekus sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,83,Plecoptera,,intolerant,,,103174
Manayunkia sp.,ANNELIDA,POLYCHAETA,SABELLIDA,Sabellidae,,6,c-g,83,Other,,facultative,,,68169
Manayunkia speciosa,ANNELIDA,POLYCHAETA,SABELLIDA,Sabellidae,,6,c-g,83,Other,,facultative,,,68172
Mayatrichia ayama,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,"125,98",Trichoptera,,facultative,,,115812
Mayatrichia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,"125,98",Trichoptera,,facultative,,,115811
Meropelopia americana,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"94,36",Chironomidae,Conchapelopia americana,facultative,,,128134
Meropelopia flavifrons,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"94,36",Chironomidae,Conchapelopia flavifrons,facultative,,,128148
Meropelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"94,36",Chironomidae,,facultative,,,128132
Micrasema sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,2,shr,"125,42",Trichoptera,,intolerant,,,116958
Micrasema sp. 1,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,2,shr,42,Trichoptera,,intolerant,1,0,116958
Micrasema sp. 2,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,2,shr,42,Trichoptera,,intolerant,,,116958
Micrasema sp. 3,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,2,shr,42,Trichoptera,,intolerant,,,116958
Microchironomus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,124,Chironomidae,,tolerant,,,129532
Microcylloepus pusillus,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,3,scr,19,Coleoptera,,intolerant,,,114147
Microcylloepus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Elmidae,,3,scr,19,Coleoptera,,intolerant,,,114146
Micromenetus dilatatus,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,scr,60,Mollusca,Menetus dilatatus,facultative,,,76648
Micromenetus sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,scr,60,Mollusca,,facultative,,,573260
Micropsectra aristata gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,c-f,102,Chironomidae,"Micropsectra nr. curvicornis, Micropsectra sp. 3B, Micropsectra sp. 6",facultative,,,
Micropsectra deflecta,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,4,c-f,87,Chironomidae,"Micropsectra nr. deflecta, Micropsectra sp. 2",facultative,,,129898
Micropsectra dives gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,4,c-f,78,Chironomidae,Micropsectra sp.,intolerant,6,9,129900
Micropsectra notescens gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-f,101,Chironomidae,"Micropsectra nr. brunnipes, Micropsectra sp. 5",facultative,,,
Micropsectra nr. sp. B,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,4,c-f,36,Chironomidae,,intolerant,,,129890
Micropsectra polita,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-f,78,Chironomidae,"Micropsectra polita?, Micropsectra sp. 3",facultative,0,7,129913
Micropsectra sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,c-f,83,Chironomidae,,facultative,3,1,129890
Micropsectra/Tanytarsus Complex,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-f,"36,78,87",Chironomidae,,facultative,,,129890
Microtendipes pedellus gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-f,124,Chironomidae,"Microtendipes caelum, Microtendipes sp. 2, Microtendipes cauducus",facultative,7,7,129541
Microtendipes rydalensis gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,4,c-f,124,Chironomidae,Microtendipes sp. 1,intolerant,2,1,129547
Microtendipes sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,c-f,124,Chironomidae,,facultative,,,129535
Mideopsis sp.,ARTHROPODA,ARACHNOIDEA,,Mideopsidae,,6,prd,108,Other,,facultative,,,83479
Molanna sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Molannidae,,6,scr,125,Trichoptera,,facultative,,,116474
Molophilus sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,4,shr,,Insects-other,,intolerant,,,120758
Monoculodes edwardsi,ARTHROPODA,CRUSTACEA,AMPHIPODA,Oedicerotidae,,5,c-g,17,Crustacea,,facultative,,,94539
Monoculodes sp.,ARTHROPODA,CRUSTACEA,AMPHIPODA,Oedicerotidae,,5,c-g,17,Crustacea,,facultative,,,94519
Monodiamesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,7,c-g,36,Chironomidae,Monodiamesa dipectinata,facultative,,,128440
Musculium partumeium,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,"68,22",Mollusca,,facultative,,,81432
Musculium sp.,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,83,Mollusca,,facultative,,,81427
Musculium transversum,MOLLUSCA,PELECYPODA,VENEROIDEA,Pisidiidae,,6,c-f,"68,22",Mollusca,Musculium sp.,facultative,,,81428
Mystacides alafimbriata,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,4,c-g,129,Trichoptera,,intolerant,,,116603
Mystacides sepulchralis,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,4,c-g,129,Trichoptera,,intolerant,,,116599
Mystacides sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,4,c-g,129,Trichoptera,,intolerant,,,116598
Nais barbata,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68947
Nais behningi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68949
Nais bretscheri,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68961
Nais communis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68950
Nais elinguis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68952
Nais pardalis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68954
Nais simplex,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68957
Nais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,Nais spp.,tolerant,,,68946
Nais variabilis,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,10,c-g,"18,83",Oligochaeta,,tolerant,5,0,68959
Nanocladius (Nanocladius) balticus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,,6,c-g,100,Chironomidae,,facultative,,,128866
Nanocladius (Plecopt.) branchicolus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,3,prd,"36,33",Chironomidae,Nanocladius (Plecopteracoluthus) sp.,intolerant,,,128851
Nanocladius (Plecopteracoluthus) downesi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,3,prd,36,Chironomidae,Nanocladius (Plecopteracoluthus) sp.,intolerant,,,128855
Nanocladius (Plecopteracoluthus) sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,3,prd,124,Chironomidae,,intolerant,,,128844
Nanocladius (Plecopteracoluthus) sp. 5,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,124,Chironomidae,,facultative,,,128844
Nanocladius alternantherae?,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,,facultative,,,128848
Nanocladius crassicornus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,Psectrocladius sp. 1,facultative,,,128852
Nanocladius distinctus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,Psectrocladius sp. 1,facultative,,,128853
Nanocladius minimus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,Psectrocladius sp. 1,facultative,,,128859
Nanocladius nr. balticus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,"Acamptocladius sp., Phycoidella sp., Psectrocladius sp. 5, Cardiocladius sp. 2",facultative,,,128866
Nanocladius rectinervis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,Psectrocladius sp. 1,facultative,,,128866
Nanocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,7,c-g,100,Chironomidae,Psectrocladius sp. 1,facultative,,,128844
Nanocladius spiniplenus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,100,Chironomidae,Psectrocladius sp. 1,facultative,,,128862
Natarsia baltimorea,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,"92,36",Chironomidae,Natarsia baltimoreus,tolerant,,,128071
Natarsia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,92,Chironomidae,,tolerant,,,128070
Natarsia sp. A,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,92,Chironomidae,,tolerant,,,128070
Nectopsyche sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,3,shr,"125,50",Trichoptera,Leptocella sp.,intolerant,,,116651
Nemotaulius hostilis,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,3,scr,125,Trichoptera,,intolerant,,,116434
Nemotaulius sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,3,scr,125,Trichoptera,,intolerant,,,116432
Nemotelus sp.,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,c-g,"83, 59",Insects-other,,facultative,,,130694
Nemoura sp.,ARTHROPODA,INSECTA,PLECOPTERA,Nemouridae,,1,shr,"83,114",Plecoptera,,intolerant,,,102526
Neoperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlidae,,3,prd,"83,114",Plecoptera,Neoperla clymene,intolerant,5,5,102942
Neophylax concinnus,ARTHROPODA,INSECTA,TRICHOPTERA,Uenoidae,,3,scr,39,Trichoptera,,intolerant,,,116047
Neophylax fuscus,ARTHROPODA,INSECTA,TRICHOPTERA,Uenoidae,,3,scr,39,Trichoptera,,intolerant,,,116049
Neophylax oligius,Arthropoda,INSECTA,TRICHOPTERA,Uenoidae,,3,scr,125,Trichoptera,,intolerant,,,116057
Neophylax sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Uenoidae,,3,scr,125,Trichoptera,,intolerant,,,116046
Neoplasta sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,prd,83,Insects-other,,facultative,,,136352
Neoplea sp.,ARTHROPODA,INSECTA,HEMIPTERA,Pleidae,,8,prd,83,Insects-other,,tolerant,,,103603
Neoporus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,Hydroporinae,5,prd,,Coleoptera,,facultative,,,728252
Neostempellina reissi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,2,c-g,21,Chironomidae,"Stempellina sp. 1, Stempellina wirthi, Stempellina sp. 2, Constempellina sp. 3",intolerant,,,
Neostempellina sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,2,c-g,21,Chironomidae,,intolerant,,,
Neotrichia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,2,scr,125,Trichoptera,,intolerant,,,115833
Neureclipsis bimaculata,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,7,c-f,125,Trichoptera,,facultative,,,117096
Neureclipsis sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,7,c-f,125,Trichoptera,,facultative,3,1,117095
Neurocordulia sp.,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,2,prd,"83,122",Insects-other,,intolerant,,,101934
Nigronia serricornis,ARTHROPODA,INSECTA,MEGALOPTERA,Corydalidae,,4,prd,"83,76",Insects-other,Nigronia sp.,intolerant,10,8,115031
Nilotanypus fimbriatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,prd,96,Chironomidae,"Nilotanypus sp. 1, Pentaneura sp. 3",tolerant,,,128203
Nilotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,96,Chironomidae,Pentaneura sp. 3,facultative,,,128202
Nilothauma babiyi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-g,106,Chironomidae,"Nilothauma sp., Demicryptochironomus sp. 1",intolerant,,,129549
Nilothauma sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-g,106,Chironomidae,,intolerant,,,129548
Nixe (Nixe) sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,2,scr,"83,43",Ephemeroptera,,intolerant,1,5,100692
Nyctiophylax celta,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,5,prd,"125,98",Trichoptera,"Nyctiophylax vestitus, Psychomyiid Genus B",facultative,,,117107
Nyctiophylax moestus,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,5,prd,"125,98",Trichoptera,"Nyctiophylax sp. A, Psychomyiid Genus A",facultative,,,117112
Nyctiophylax sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropodidae,,5,prd,"125,98",Trichoptera,,facultative,,,117104
Nymphomyia sp.,ARTHROPODA,INSECTA,DIPTERA,Nymphomyiidae,,5,c-g,83,Insects-other,,facultative,,,
Nymphula sp.,ARTHROPODA,INSECTA,LEPIDOPTERA,Pyralidae,,7,shr,"83,66",Insects-other,,facultative,,,117659
Odontomesa fulva,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,5,c-g,"83,36",Chironomidae,,facultative,,,128447
Odontomesa sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Prodiamesinae,5,c-g,"83,36",Chironomidae,,facultative,,,128446
Odontomyia sp.,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,c-g,,Insects-other,,facultative,,,130573
Oecetis avara,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,5,prd,44,Trichoptera,,facultative,,,116608
Oecetis cinerascens,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,5,prd,44,Trichoptera,,facultative,,,116609
Oecetis inconspicua,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,5,prd,44,Trichoptera,,facultative,,,116613
Oecetis sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,5,prd,125,Trichoptera,,facultative,,,116607
Oligostomis sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Phryganeidae,,2,prd,125,Trichoptera,,intolerant,,,115900
