MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Aulodrilus piqueti,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,"18,83",Oligochaeta,,tolerant,,,
Aulodrilus pluriseta,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,"18,83",Oligochaeta,,tolerant,,,68684
Aulodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,"18,83",Oligochaeta,,tolerant,,,68679
Axarus festivus gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-g,"88,124",Chironomidae,,facultative,,,129239
Axarus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,6,c-g,"88,124",Chironomidae,,facultative,,,129236
Baetis brunneicolor,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,74,Ephemeroptera,,intolerant,1,5,100825
Baetis flavistriga,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,4,c-g,74,Ephemeroptera,,intolerant,7,7,100835
Baetis intercalaris,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,5,c-g,74,Ephemeroptera,,facultative,6,5,100808
Baetis pluto,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,6,c-g,74,Ephemeroptera,,facultative,,,100858
Baetis sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,6,c-g,74,Ephemeroptera,,facultative,6,3,100800
Baetis tricaudatus,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,6,c-g,74,Ephemeroptera,,facultative,8,9,100817
Baetisca sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetiscidae,,4,c-g,83,Ephemeroptera,,intolerant,,,101494
Basiaeschna sp.,ARTHROPODA,INSECTA,ODONATA,Aeshnidae,,6,prd,"83,122",Insects-other,,facultative,,,101648
Batracobdella phalera,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69374
Batracobdella sp.,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69358
Berosus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,c-g,"83,123",Coleoptera,,facultative,,,112812
Bezzia sp.,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127778
Bezzia sp. 1,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127778
Bezzia sp. 2,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127778
Bithynia sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Bithyniidae,,8,scr,"60,83",Mollusca,,tolerant,,,70793
Bithynia tentaculata,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Bithyniidae,,8,scr,"60,83",Mollusca,,tolerant,,,70794
Bittacomorpha sp.,ARTHROPODA,INSECTA,DIPTERA,Ptychopteridae,,9,c-g,83,Insects-other,,tolerant,,,125765
Blepharicera sp.,ARTHROPODA,INSECTA,DIPTERA,Blephariceridae,Blepharicerinae,0,scr,83117,Insects-Other,,intolerant,,,121255
Bothrioneurum sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,18,Oligochaeta,,tolerant,,,68778
Bothrioneurum vejdovskyanum,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,18,Oligochaeta,,tolerant,,,68779
Boyeria grafiana,ARTHROPODA,INSECTA,ODONATA,Aeschnidae,,2,prd,,Insects-Other,,intolerant,,,101646
Boyeria sp.,ARTHROPODA,INSECTA,ODONATA,Aeschnidae,,2,prd,"83,122",Insects-other,,intolerant,,,101645
Boyeria vinosa,ARTHROPODA,INSECTA,ODONATA,Aeschnidae,,2,prd,"83,122",Insects-other,,intolerant,,,101647
Brachycentrus americanus,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,1,c-f,42,Trichoptera,,intolerant,,,116912
Brachycentrus appalachia,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,0,c-f,42,Trichoptera,Brachycentrus sp. 1,intolerant,3,4,116921
Brachycentrus incanus,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,0,c-f,42,Trichoptera,Brachycentrus sp. 3,intolerant,,,116919
Brachycentrus lateralis,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,1,c-f,42,Trichoptera,,intolerant,,,116914
Brachycentrus nigrosoma,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,1,c-f,42,Trichoptera,,intolerant,,,116916
Brachycentrus numerosus,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,1,c-f,42,Trichoptera,Brachycentrus sp. 2,intolerant,,,116910
Brachycentrus solomoni,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,1,c-f,42,Trichoptera,,intolerant,,,604655
Brachycentrus sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Brachycentridae,,1,c-f,42,Trichoptera,,intolerant,,,116906
Brachycercus maculatus,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,3,c-g,"83,23",Ephemeroptera,,intolerant,,,101475
Brachycercus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,3,c-g,"83,23",Ephemeroptera,,intolerant,,,101468
Branchiobdella sp.,ANNELIDA,BRANCHIOBDELLA,BRANCHIOBDELLIDA,Branchiobdellidae,,6,c-g,108,Other,,facultative,,,69180
Branchiura sowerbyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,6,c-g,"18,83",Oligochaeta,,tolerant,,,68621
Branchiura sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDAE,Tubificidae,,6,c-g,"18,83",Oligochaeta,,tolerant,,,68619
Bratislavia dadayi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,Naidinae,,c-g,"83,61",Oligochaeta,,,,,974730
Brillia flavifrons,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,shr,80,Chironomidae,Brillia sp. 1,facultative,,,128478
Brillia parva,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,shr,80,Chironomidae,,facultative,,,128481
Brillia sera,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,shr,80,Chironomidae,,facultative,,,128483
Brillia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,shr,80,Chironomidae,,facultative,,,128477
Brundiniella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,83,Chironomidae,,facultative,,,128026
Caecidotea communis,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,"108, 126",Crustacea,Asellus communis,tolerant,,,568819
Caecidotea intermedius,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,126,Crustacea,,tolerant,,,92711
Caecidotea nr. racovitzai,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,"108,126",Crustacea,Asellus nr. racovitzai,tolerant,,,92692
Caecidotea racovitzai,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,"108, 126",Crustacea,Asellus racovitzai,tolerant,6,2,92692
Caecidotea racovitzai racovitzai,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,"108,126",Crustacea,Asellus racovitzai racovitzai,tolerant,,,92694
Caecidotea sp.,ARTHROPODA,CRUSTACEA,ISOPODA,Asellidae,,8,c-g,108,Crustacea,Asellus sp.,tolerant,7,9,92686
Caenis amica,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,84,Ephemeroptera,,facultative,,,101480
Caenis anceps,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,84,Ephemeroptera,Caenis sp.,facultative,,,101481
Caenis diminuta,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,84,Ephemeroptera,,facultative,,,101483
Caenis latipennis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,84,Ephemeroptera,Caenis sp.,facultative,,,101488
Caenis macafferti,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,84,Ephemeroptera,,facultative,,,568670
Caenis punctata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,84,Ephemeroptera,,facultative,,,101489
Caenis sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Caenidae,,6,c-g,83,Ephemeroptera,,facultative,3,3,101478
Callibaetis sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,7,c-g,83,Ephemeroptera,,tolerant,,,100903
Calopteryx sp.,ARTHROPODA,INSECTA,ODONATA,Calopterygidae,,6,prd,"83,122",Insects-other,Agrion sp.,facultative,,,102052
Cambarus bartonii,ARTHROPODA,CRUSTACEA,DECAPODA,Cambaridae,,6,c-g,"83,108,5",Crustacea,,facultative,,,97343
Cambarus sp.,ARTHROPODA,CRUSTACEA,DECAPODA,Cambaridae,,6,c-g,"83,108,5",Crustacea,,facultative,,,97337
Campeloma decisum,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Viviparidae,,6,scr,"60,83",Mollusca,,facultative,,,70312
Campeloma sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Viviparidae,,6,scr,"60,83",Mollusca,,facultative,,,70311
Camptocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,c-g,36,Chironomidae,,tolerant,,,128507
Cardiocladius albiplumus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,prd,77,Chironomidae,"Eukiefferiella nr. similis, Cardiocladius sp. 3, Eukiefferiella potthasti gr.",facultative,,,128512
Cardiocladius obscurus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,prd,"106,83",Chironomidae,Cardiocladius sp. 1,facultative,8,6,128515
Cardiocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,prd,106,Chironomidae,,facultative,,,128511
Celina sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,prd,"83,123",Coleoptera,,facultative,,,112136
Centroptilum sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,2,c-g,83,Ephemeroptera,,intolerant,,,100873
Ceraclea alces,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,3,c-g,85,Trichoptera,,intolerant,,,116742
Ceraclea punctata,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,3,c-g,85,Trichoptera,,intolerant,,,116711
Ceraclea sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Leptoceridae,,3,c-g,125,Trichoptera,Athripsodes sp. 2,intolerant,,,116684
Ceratopsyche alhedra,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,3,c-f,"105,98",Trichoptera,Hydropsyche alhedra,intolerant,,,115597
Ceratopsyche bronta,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,6,c-f,"103,105",Trichoptera,"Hydropsyche bronta Hydropsyche recurvata, Symphitopsyche bronta",facultative,7,6,115578
Ceratopsyche bronta/morosa,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,6,c-f,"105, 105",Trichoptera,,facultative,6,4,
Ceratopsyche morosa,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,6,c-f,"103,105",Trichoptera,"Hydropsyche morosa Symphitopsyche bifida, Hydropsyche bifida, Hydropsyche sp. 1, Hydropsyche sp. 10",facultative,5,1,115581
Ceratopsyche slossonae,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,103,Trichoptera,"Hydropsyche slossonae Hydropsyche nr. betteni, Hydropsyche sp. 4, Symphitopsyche slossonae",intolerant,6,10,115587
Ceratopsyche sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,"103, 105",Trichoptera,,facultative,5,4,115570
Ceratopsyche sparna,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,6,c-f,103,Trichoptera,"Hydropsyche sparna Hydropsyche sp. 8, Symphitopsyche sparna",facultative,6,7,115527
Ceratopsyche ventura,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,5,c-f,,Trichoptera,Hydropsyche ventura,facultative,,,115483
Cernotina sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Polycentropididae,Polycentropodinae,6,prd,,Trichoptera,,facultative,,,115373
